day,cpa_usd_low,cpa_usd_mid,cpa_usd_high,cvr_pct_low,cvr_pct_mid,cvr_pct_high,cpm_usd_low,cpm_usd_mid,cpm_usd_high
90,43.46228,46.71058,49.95888,2.8086100000000003,2.98491,3.16121,13.605109999999998,13.974409999999999,14.34371
91,43.678411999999994,46.926711999999995,50.175011999999995,2.808479,2.984779,3.161079,13.628518999999999,13.997819,14.367119
92,43.894543999999996,47.142844,50.391144,2.808348,2.984648,3.160948,13.651927999999998,14.021227999999999,14.390528
93,44.110676,47.358976,50.607276,2.8082170000000004,2.9845170000000003,3.160817,13.675336999999999,14.044637,14.413937
94,44.326808,47.575108,50.823408,2.8080860000000003,2.984386,3.160686,13.698745999999998,14.068045999999999,14.437346
95,44.54294,47.79124,51.03954,2.807955,2.984255,3.160555,13.722154999999999,14.091455,14.460755
96,44.759072,48.007372000000004,51.255672000000004,2.807824,2.984124,3.160424,13.745563999999998,14.114863999999999,14.484164
97,44.975204000000005,48.223504000000005,51.471804000000006,2.8076930000000004,2.9839930000000003,3.1602930000000002,13.768972999999999,14.138273,14.507573
98,45.191336,48.439636,51.687936,2.8075620000000003,2.9838620000000002,3.160162,13.792381999999998,14.161681999999999,14.530982
99,45.407467999999994,48.655767999999995,51.904067999999995,2.8074310000000002,2.983731,3.160031,13.815790999999999,14.185091,14.554391
100,45.623599999999996,48.8719,52.1202,2.8073,2.9836,3.1599,13.839199999999998,14.208499999999999,14.5778
101,45.839732,49.088032,52.336332,2.807169,2.983469,3.159769,13.862608999999999,14.231909,14.601209
102,46.055864,49.304164,52.552464,2.8070380000000004,2.9833380000000003,3.159638,13.886017999999998,14.255317999999999,14.624618
103,46.271996,49.520296,52.768596,2.8069070000000003,2.983207,3.159507,13.909426999999999,14.278727,14.648027
104,46.488128,49.736428000000004,52.984728000000004,2.806776,2.983076,3.159376,13.932835999999998,14.302135999999999,14.671436
105,46.704260000000005,49.952560000000005,53.200860000000006,2.806645,2.982945,3.159245,13.956245,14.325545,14.694845
106,46.920392,50.168692,53.416992,2.8065140000000004,2.9828140000000003,3.159114,13.979653999999998,14.348953999999999,14.718254
107,47.136523999999994,50.384823999999995,53.633123999999995,2.8063830000000003,2.982683,3.158983,14.003063,14.372363,14.741663
108,47.352655999999996,50.600956,53.849256,2.806252,2.982552,3.158852,14.026471999999998,14.395772,14.765072
109,47.568788,50.817088,54.065388,2.806121,2.982421,3.158721,14.049881,14.419181,14.788481
110,47.78492,51.03322,54.28152,2.8059900000000004,2.9822900000000003,3.1585900000000002,14.073289999999998,14.44259,14.81189
111,48.001052,51.249352,54.497652,2.8058590000000003,2.9821590000000002,3.158459,14.096699,14.465999,14.835299000000001
112,48.217184,51.465484000000004,54.713784000000004,2.805728,2.982028,3.158328,14.120107999999998,14.489408,14.858708
113,48.433316000000005,51.681616000000005,54.929916000000006,2.805597,2.981897,3.158197,14.143516999999997,14.512816999999998,14.882117
114,48.649448,51.897748,55.146048,2.8054660000000005,2.9817660000000004,3.1580660000000003,14.166925999999998,14.536226,14.905526
115,48.865579999999994,52.113879999999995,55.362179999999995,2.8053350000000004,2.9816350000000003,3.157935,14.190335,14.559635,14.928935000000001
116,49.081711999999996,52.330011999999996,55.578312,2.8052040000000003,2.981504,3.157804,14.213743999999998,14.583044,14.952344
117,49.297844,52.546144,55.794444,2.805073,2.981373,3.157673,14.237152999999998,14.606452999999998,14.975753
118,49.513976,52.762276,56.010576,2.804942,2.981242,3.157542,14.260561999999998,14.629862,14.999162
119,49.730108,52.978408,56.226708,2.8048110000000004,2.9811110000000003,3.157411,14.283971,14.653271,15.022571000000001
