day,cpm_usd_low,cpm_usd_mid,cpm_usd_high
90,13.605086274095797,13.974338678586395,14.343591083076994
91,13.628495006360877,13.997747410851476,14.366999815342075
92,13.651903738625958,14.021156143116556,14.390408547607155
93,13.67531247089104,14.044564875381639,14.413817279872237
94,13.69872120315612,14.067973607646719,14.437226012137318
95,13.7221299354212,14.0913823399118,14.460634744402398
96,13.745538667686283,14.114791072176882,14.48404347666748
97,13.768947399951363,14.138199804441962,14.50745220893256
98,13.792356132216444,14.161608536707043,14.530860941197641
99,13.815764864481524,14.185017268972123,14.554269673462722
100,13.839173596746605,14.208426001237203,14.577678405727802
101,13.862582329011687,14.231834733502286,14.601087137992884
102,13.885991061276767,14.255243465767366,14.624495870257965
103,13.909399793541848,14.278652198032447,14.647904602523045
104,13.93280852580693,14.302060930297529,14.671313334788127
105,13.95621725807201,14.32546966256261,14.694722067053208
106,13.979625990337091,14.34887839482769,14.718130799318288
107,14.003034722602173,14.372287127092772,14.74153953158337
108,14.026443454867254,14.395695859357852,14.764948263848451
109,14.049852187132334,14.419104591622933,14.788356996113531
110,14.073260919397415,14.442513323888013,14.811765728378612
111,14.096669651662495,14.465922056153094,14.835174460643692
112,14.120078383927577,14.489330788418176,14.858583192908775
113,14.143487116192658,14.512739520683256,14.881991925173855
114,14.166895848457738,14.536148252948337,14.905400657438935
115,14.19030458072282,14.559556985213419,14.928809389704018
116,14.2137133129879,14.5829657174785,14.952218121969098
117,14.237122045252981,14.60637444974358,14.975626854234179
118,14.260530777518062,14.62978318200866,14.999035586499259
119,14.283939509783142,14.65319191427374,15.02244431876434
