day,cpm_usd_low,cpm_usd_mid,cpm_usd_high
90,14.02714188158386,14.54506076159722,15.06297964161058
91,14.059537007237756,14.577455887251116,15.095374767264476
92,14.091932132891651,14.609851012905011,15.127769892918371
93,14.124327258545547,14.642246138558907,15.160165018572267
94,14.156722384199442,14.674641264212802,15.192560144226162
95,14.189117509853338,14.707036389866698,15.224955269880057
96,14.221512635507233,14.739431515520593,15.257350395533953
97,14.253907761161129,14.771826641174489,15.289745521187848
98,14.286302886815022,14.804221766828382,15.322140646841742
99,14.318698012468918,14.836616892482278,15.354535772495638
100,14.351093138122813,14.869012018136173,15.386930898149533
101,14.383488263776709,14.901407143790069,15.419326023803428
102,14.415883389430604,14.933802269443964,15.451721149457324
103,14.4482785150845,14.96619739509786,15.48411627511122
104,14.480673640738393,14.998592520751753,15.516511400765113
105,14.513068766392289,15.030987646405649,15.548906526419009
106,14.545463892046184,15.063382772059544,15.581301652072904
107,14.57785901770008,15.09577789771344,15.6136967777268
108,14.610254143353975,15.128173023367335,15.646091903380695
109,14.64264926900787,15.16056814902123,15.67848702903459
110,14.675044394661766,15.192963274675126,15.710882154688486
111,14.707439520315662,15.225358400329021,15.743277280342381
112,14.739834645969557,15.257753525982917,15.775672405996277
113,14.772229771623453,15.290148651636812,15.808067531650172
114,14.804624897277348,15.322543777290708,15.840462657304068
115,14.837020022931243,15.354938902944603,15.872857782957963
116,14.869415148585137,15.387334028598497,15.905252908611857
117,14.901810274239033,15.419729154252392,15.937648034265752
118,14.934205399892928,15.452124279906288,15.970043159919648
119,14.966600525546824,15.484519405560183,16.002438285573543
