date,cpa_actual,cpa_mid,cpa_low,cpa_high,cvr_actual,cvr_mid,cvr_low,cvr_high,cpa_in_band,cvr_in_band
2025-10-30,52.62,46.5,42.9,50.1,2.725,2.992,2.753,3.231,False,False
2025-10-31,46.11,46.61,43.01,50.21,2.983,2.992,2.753,3.231,True,True
2025-11-01,44.93,46.72,43.12,50.32,2.925,2.992,2.753,3.231,True,True
2025-11-02,46.29,46.83,43.23,50.43,3.116,2.992,2.753,3.231,True,True
2025-11-03,50.46,46.94,43.34,50.54,3.026,2.992,2.753,3.231,True,True
2025-11-04,50.39,47.05,43.45,50.65,3.021,2.992,2.753,3.231,True,True
2025-11-05,52.07,47.16,43.56,50.76,2.661,2.992,2.753,3.231,False,False
2025-11-06,59.26,47.27,43.67,50.87,2.802,2.992,2.753,3.231,False,True
2025-11-07,44.78,47.38,43.78,50.98,3.258,2.992,2.753,3.231,True,False
2025-11-08,45.79,47.49,43.89,51.09,3.01,2.992,2.753,3.231,True,True
2025-11-09,56.85,47.6,44.0,51.2,2.901,2.992,2.753,3.231,False,True
2025-11-10,51.88,47.71,44.11,51.31,2.71,2.992,2.753,3.231,False,False
2025-11-11,48.37,47.82,44.22,51.42,3.004,2.992,2.753,3.231,True,True
2025-11-12,57.92,47.93,44.33,51.53,2.878,2.992,2.753,3.231,False,True
2025-11-13,50.38,48.04,44.44,51.64,2.978,2.992,2.753,3.231,True,True
2025-11-14,50.66,48.15,44.55,51.75,2.907,2.992,2.753,3.231,True,True
2025-11-15,52.27,48.26,44.66,51.86,3.232,2.992,2.753,3.231,False,False
2025-11-16,46.15,48.37,44.77,51.97,3.411,2.992,2.753,3.231,True,False
2025-11-17,51.58,48.48,44.88,52.08,3.139,2.992,2.753,3.231,True,True
2025-11-18,53.68,48.59,44.99,52.19,3.103,2.992,2.753,3.231,False,True
2025-11-19,64.44,48.7,45.1,52.3,2.885,2.992,2.753,3.231,False,True
2025-11-20,46.75,48.81,45.21,52.41,3.134,2.992,2.753,3.231,True,True
2025-11-21,60.09,48.92,45.32,52.52,2.936,2.992,2.753,3.231,False,True
2025-11-22,55.97,49.03,45.43,52.63,3.191,2.992,2.753,3.231,False,True
2025-11-23,47.72,49.14,45.54,52.74,3.049,2.992,2.753,3.231,True,True
2025-11-24,55.65,49.25,45.65,52.85,3.021,2.992,2.753,3.231,False,True
2025-11-25,58.42,49.36,45.76,52.96,2.862,2.992,2.753,3.231,False,True
2025-11-26,60.39,49.47,45.87,53.07,2.962,2.992,2.753,3.231,False,True
2025-11-27,63.63,49.58,45.98,53.18,2.623,2.992,2.753,3.231,False,False
2025-11-28,58.03,49.69,46.09,53.29,3.34,2.992,2.753,3.231,False,False
