customer_id,acq_month,channel,geo,income_band,acq_type,monthly_fee,observed_tenure_months,status,revenue_to_date,acquisition_cost
C1000,2025-01,paid_social,UK,low,full_price,13,6,active,78,28.37
C1001,2025-01,referral,US,mid,full_price,15,6,active,90,3.32
C1002,2025-01,search,IN,low,discount,13,3,churned,39,21.03
C1003,2025-01,paid_social,CA,mid,discount,15,4,churned,60,34.01
C1004,2025-01,paid_social,UK,low,discount,13,3,churned,39,30.39
C1005,2025-01,search,US,low,full_price,13,6,active,78,18.65
C1006,2025-01,paid_social,IN,low,discount,13,3,churned,39,33.44
C1007,2025-01,search,UK,low,discount,13,6,active,78,20.74
C1008,2025-01,search,UK,high,full_price,17,4,churned,68,16.97
C1009,2025-01,search,UK,mid,discount,15,6,active,90,20.89
C1010,2025-01,referral,UK,high,full_price,17,6,active,102,4.9
C1011,2025-01,search,CA,mid,full_price,15,5,churned,75,19.79
C1012,2025-01,referral,IN,low,discount,13,6,churned,78,10.22
C1013,2025-01,paid_social,CA,mid,full_price,15,6,active,90,25.66
C1014,2025-01,paid_social,UK,mid,discount,15,5,churned,75,25.64
C1015,2025-01,search,IN,mid,discount,15,6,churned,90,12.77
C1016,2025-01,referral,CA,high,full_price,17,4,churned,68,13.99
C1017,2025-01,search,IN,mid,discount,15,3,churned,45,16.33
C1018,2025-01,paid_social,US,high,full_price,17,6,active,102,25.04
C1019,2025-01,paid_social,CA,mid,full_price,15,6,active,90,30.72
C1020,2025-01,referral,CA,high,full_price,17,4,churned,68,6.12
C1021,2025-01,referral,UK,high,full_price,17,3,churned,51,2.94
C1022,2025-01,paid_social,IN,mid,discount,15,4,churned,60,31.34
C1023,2025-01,referral,US,high,full_price,17,2,churned,34,12.35
C1024,2025-01,referral,US,mid,discount,15,5,churned,75,9.41
C1025,2025-01,search,IN,mid,full_price,15,6,churned,90,12.76
C1026,2025-01,search,UK,mid,full_price,15,6,active,90,19.07
C1027,2025-01,paid_social,US,low,full_price,13,2,churned,26,31.57
C1028,2025-01,referral,CA,high,full_price,17,6,active,102,6.99
C1029,2025-01,paid_social,UK,high,full_price,17,6,active,102,24.81
C1030,2025-01,search,US,mid,full_price,15,6,active,90,25.0
C1031,2025-01,paid_social,US,low,discount,13,3,churned,39,30.53
C1032,2025-01,search,IN,high,discount,17,4,churned,68,17.29
C1033,2025-01,paid_social,IN,low,full_price,13,6,active,78,31.45
C1034,2025-01,search,CA,mid,full_price,15,6,active,90,17.86
C1035,2025-01,paid_social,IN,low,discount,13,6,churned,78,31.16
C1036,2025-01,search,US,high,full_price,17,6,churned,102,21.88
C1037,2025-01,referral,IN,mid,discount,15,6,active,90,6.69
C1038,2025-01,paid_social,CA,low,full_price,13,6,active,78,28.73
C1039,2025-01,search,IN,low,discount,13,6,active,78,17.65
C1040,2025-01,paid_social,US,mid,discount,15,3,churned,45,33.34
C1041,2025-01,paid_social,US,low,discount,13,2,churned,26,27.07
C1042,2025-01,paid_social,CA,mid,full_price,15,6,churned,90,29.96
C1043,2025-01,paid_social,CA,low,full_price,13,6,active,78,26.35
C1044,2025-01,paid_social,US,mid,discount,15,4,churned,60,29.71
C1045,2025-01,paid_social,US,mid,discount,15,4,churned,60,34.38
C1046,2025-01,paid_social,UK,low,full_price,13,6,active,78,31.34
C1047,2025-01,paid_social,US,low,discount,13,6,active,78,30.47
C1048,2025-01,paid_social,IN,low,discount,13,6,churned,78,33.01
C1049,2025-01,search,US,high,full_price,17,2,churned,34,22.79
C1050,2025-01,search,UK,mid,discount,15,6,active,90,20.03
C1051,2025-01,referral,US,mid,full_price,15,6,active,90,5.24
C1052,2025-01,paid_social,US,mid,full_price,15,6,active,90,31.91
C1053,2025-01,paid_social,UK,low,discount,13,3,churned,39,30.25
C1054,2025-01,paid_social,UK,high,full_price,17,6,active,102,34.08
C1055,2025-01,referral,US,low,full_price,13,6,active,78,4.72
C1056,2025-01,paid_social,US,high,full_price,17,2,churned,34,29.76
C1057,2025-01,referral,UK,low,full_price,13,6,active,78,8.13
C1058,2025-01,search,CA,mid,full_price,15,3,churned,45,16.25
C1059,2025-01,paid_social,US,high,full_price,17,2,churned,34,32.99
