date,cpa_low,cpa_mid,cpa_high,cvr_low,cvr_mid,cvr_high
2025-10-30,42.97,46.71,50.45,2.753,2.992,3.231
2025-10-31,43.17,46.93,50.68,2.753,2.992,3.231
2025-11-01,43.37,47.14,50.91,2.753,2.992,3.231
2025-11-02,43.57,47.36,51.15,2.753,2.992,3.231
2025-11-03,43.77,47.58,51.38,2.753,2.992,3.231
2025-11-04,43.97,47.79,51.61,2.753,2.992,3.231
2025-11-05,44.17,48.01,51.85,2.753,2.992,3.231
2025-11-06,44.37,48.22,52.08,2.753,2.992,3.231
2025-11-07,44.56,48.44,52.31,2.753,2.992,3.231
2025-11-08,44.76,48.66,52.55,2.753,2.992,3.231
2025-11-09,44.96,48.87,52.78,2.753,2.992,3.231
2025-11-10,45.16,49.09,53.02,2.753,2.992,3.231
2025-11-11,45.36,49.3,53.25,2.753,2.992,3.231
2025-11-12,45.56,49.52,53.48,2.753,2.992,3.231
2025-11-13,45.76,49.74,53.72,2.753,2.992,3.231
2025-11-14,45.96,49.95,53.95,2.753,2.992,3.231
2025-11-15,46.16,50.17,54.18,2.753,2.992,3.231
2025-11-16,46.35,50.38,54.42,2.753,2.992,3.231
2025-11-17,46.55,50.6,54.65,2.753,2.992,3.231
2025-11-18,46.75,50.82,54.88,2.753,2.992,3.231
2025-11-19,46.95,51.03,55.12,2.753,2.992,3.231
2025-11-20,47.15,51.25,55.35,2.753,2.992,3.231
2025-11-21,47.35,51.47,55.58,2.753,2.992,3.231
2025-11-22,47.55,51.68,55.82,2.753,2.992,3.231
2025-11-23,47.75,51.9,56.05,2.753,2.992,3.231
2025-11-24,47.94,52.11,56.28,2.753,2.992,3.231
2025-11-25,48.14,52.33,56.52,2.753,2.992,3.231
2025-11-26,48.34,52.55,56.75,2.753,2.992,3.231
2025-11-27,48.54,52.76,56.98,2.753,2.992,3.231
2025-11-28,48.74,52.98,57.22,2.753,2.992,3.231
